iter	RMSE
0	0.4696938773
1	0.494717746
2	0.5093214048
3	0.5177404349
4	0.5225960488
5	0.5244781439
6	0.5357633038
7	0.4771489052
8	0.5034585238
9	0.5177795052
10	0.5288443509
11	0.5368537735
12	0.53989409
13	0.5489464995
14	0.4818070661
15	0.5091162348
16	0.5237927584
17	0.5343412624
18	0.5438122079
19	0.5527674193
20	0.5666408558
21	0.420373822
22	0.4600642378
23	0.4794732778
24	0.4913353246
25	0.4958924611
26	0.5005630583
27	0.5196332296
28	0.4328088133
29	0.4743321651
30	0.4929039782
31	0.5059918193
32	0.5135306926
33	0.5243245737
34	0.537095436
35	0.4344430121
36	0.4787882826
37	0.503292444
38	0.5193574508
39	0.527408925
40	0.5391428338
41	0.5582906374
42	0.3708129645
43	0.423352762
44	0.4499263204
45	0.4633603474
46	0.4749834312
47	0.4823792873
48	0.5058563701
49	0.3822220877
50	0.4417652874
51	0.4682787566
52	0.4866026077
53	0.4921762867
