iter	Passed	Remaining
0	1571	97452
1	3148	96038
2	4618	92377
3	6016	88737
4	7408	85932
5	8758	83202
6	10145	81163
7	11660	80165
8	13139	78836
9	14619	77482
10	16070	75971
11	17420	74035
12	18751	72120
13	20172	70604
14	21680	69378
15	23326	68521
16	24741	66947
17	26235	65588
18	27627	63980
19	29185	62748
20	30600	61200
21	33773	62942
22	36589	63633
23	39295	63854
24	42105	64000
25	44848	63822
26	47412	63216
27	49960	62450
28	53225	62402
29	56428	62071
30	59351	61265
31	62384	60434
32	65196	59269
33	67880	57897
34	70740	56592
35	74084	55563
36	77194	54244
37	80286	52820
38	83579	51433
39	86466	49717
40	89672	48116
41	92695	46347
42	104764	48727
43	116481	50298
44	125028	50011
45	132677	49032
46	140560	47850
47	149659	46768
48	157002	44857
49	166132	43194
50	174948	41164
51	183608	38840
52	191771	36183
53	199626	33271
